".id","dates","totals","doi"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-22,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
